Unity 6000.3.23f1
SCENE LK_Core
Salt stained tower wall: position=(3.536, 1.600, 3.536); scale=(0.400, 3.200, 0.990); rotation=(0.0, 315.0, 0.0); collider=Center: (3.536, 1.600, 3.536), Extents: (0.491, 1.600, 0.491)
Salt stained tower wall: position=(4.619, 4.800, 1.913); scale=(0.400, 3.200, 0.990); rotation=(0.0, 337.5, 0.0); collider=Center: (4.619, 4.800, 1.913), Extents: (0.374, 1.600, 0.534)
Salt stained tower wall: position=(4.157, 8.000, -2.778); scale=(0.400, 3.200, 0.990); rotation=(0.0, 33.8, 0.0); collider=Center: (4.157, 8.000, -2.778), Extents: (0.441, 1.600, 0.523)
Salt stained tower wall: position=(4.157, 4.800, -2.778); scale=(0.400, 3.200, 0.990); rotation=(0.0, 33.8, 0.0); collider=Center: (4.157, 4.800, -2.778), Extents: (0.441, 1.600, 0.523)
Salt stained tower wall: position=(-2.778, 8.000, 4.157); scale=(0.400, 3.200, 0.990); rotation=(0.0, 236.3, 0.0); collider=Center: (-2.778, 8.000, 4.157), Extents: (0.523, 1.600, 0.441)
Salt stained tower wall: position=(4.904, 4.800, 0.975); scale=(0.400, 3.200, 0.990); rotation=(0.0, 348.8, 0.0); collider=Center: (4.904, 4.800, 0.975), Extents: (0.293, 1.600, 0.525)
Salt stained tower wall: position=(-4.904, 1.600, -0.975); scale=(0.400, 3.200, 0.990); rotation=(0.0, 168.8, 0.0); collider=Center: (-4.904, 1.600, -0.975), Extents: (0.293, 1.600, 0.525)
Tower entry surround: position=(-5.000, 1.500, -1.550); scale=(0.350, 3.000, 1.900); rotation=(0.0, 0.0, 0.0); collider=Center: (-5.000, 1.500, -1.550), Extents: (0.175, 1.500, 0.950)
Salt stained tower wall: position=(-4.157, 1.600, -2.778); scale=(0.400, 3.200, 0.990); rotation=(0.0, 146.3, 0.0); collider=Center: (-4.157, 1.600, -2.778), Extents: (0.441, 1.600, 0.523)
Salt stained tower wall: position=(1.913, 1.600, 4.619); scale=(0.400, 3.200, 0.990); rotation=(0.0, 292.5, 0.0); collider=Center: (1.913, 1.600, 4.619), Extents: (0.534, 1.600, 0.374)
Salt stained tower wall: position=(4.904, 11.200, 0.975); scale=(0.400, 3.200, 0.990); rotation=(0.0, 348.8, 0.0); collider=Center: (4.904, 11.200, 0.975), Extents: (0.293, 1.600, 0.525)
Maintenance worktop: position=(-8.800, 0.820, 1.700); scale=(1.600, 0.100, 0.700); rotation=(0.0, 0.0, 0.0); collider=Center: (-8.800, 0.820, 1.700), Extents: (0.800, 0.050, 0.350)
Salt stained tower wall: position=(-0.975, 11.200, -4.904); scale=(0.400, 3.200, 0.990); rotation=(0.0, 101.3, 0.0); collider=Center: (-0.975, 11.200, -4.904), Extents: (0.525, 1.600, 0.293)
